Title,Company Name,Location,Start Date,Duration,Stipend
Artificial Intelligence (AI),FoodNEST(S) Technologies Private Limited,Lucknow,Immediately,"₹ 8,000 /month","₹ 4,000-8,000 /month"
Data Analytics,GoMechanic,Gurgaon,Immediately,"₹ 8,000 /month","₹ 10,000-15,000 /month"
Content Development (Mathematics),Lawtech,Work from home,Immediately,"₹ 8,000 /month","₹ 6,000-8,000 /month"
Arithmetic & Mental Ability Content Curation (for GATE),Lawtech,Work from home,Immediately,"₹ 8,000 /month","₹ 6,000-8,000 /month"
Full Stack Data Engineering,Blackcoffer,Work from home,Immediately,"₹ 8,000 /month","₹ 10,000-12,000 /month"
Machine Learning,Techvolt Software Private Limited,Coimbatore,Immediately,"₹ 8,000 /month","₹ 6,000 /month"
Machine Learning,K4 Media & Technologies,Work from home,Immediately,"₹ 8,000 /month","₹ 10,000 /month"
Business Analytics,Rest The Case Services Private Limited,Pune,Immediately,"₹ 8,000 /month","₹ 10,000 /month"
Data Science - Content Writing Volunteer,Earth5R,Work from home,Immediately,"₹ 8,000 /month",Unpaid
Business Analytics,Conscript HR Advisors Private Limited,Work from home,Immediately,"₹ 8,000 /month","₹ 1,000 /month"
Business Analytics,Brain Wave AI Solutions,Work from home,Immediately,"₹ 8,000 /month","₹ 6,500 /month"
Data & Reporting,Growify Digital,Delhi,Immediately,"₹ 8,000 /month","₹ 10,000-15,000 /month"
Social Sector Marketing,Pawzz,Work from home,Immediately,"₹ 8,000 /month","₹ 1,500-10,000 lump sum"
Artificial Intelligence (AI),Coding Junior,Work from home,Immediately,"₹ 8,000 /month","₹ 2,000 /month"
Data Analytics,Primary Healthtech,Guwahati,Immediately,"₹ 8,000 /month","₹ 5,000-10,000 /month"
Business Analytics,Isourse,Delhi,Immediately,"₹ 8,000 /month","₹ 20,000 /month"
Machine Learning,MELE (Make Engineers Life Easy),Work from home,Immediately,"₹ 8,000 /month","₹ 1,000 /month +  Incentives"
Artificial Intelligence (AI),Asynchron Labs,Work from home,Immediately,"₹ 8,000 /month","₹ 12,000-18,000 /month"
Python Development,ALGOTRAK Private Limited,Work from home,Immediately,"₹ 8,000 /month","₹ 15,000 /month"
Quant Research,Newberry Group,Mumbai,Immediately,"₹ 8,000 /month","₹ 10,000-12,000 /month"
Data Science,Neoperk Technologies Private Limited,Mumbai                                                            (Hybrid),Immediately,"₹ 8,000 /month","₹ 5,000 /month"
Data Analyst,PlayTheory Labs,Work from home,Immediately,"₹ 8,000 /month","₹ 5,000 /month"
Artificial Intelligence (AI),Ostello India Private Limited,Work from home,Immediately,"₹ 8,000 /month","₹ 8,000-12,000 /month"
Software Development,Pathbeat.in,Work from home,Immediately,"₹ 8,000 /month","₹ 15,000-25,000 /month"
Artificial Intelligence (AI),Pawzz,Work from home,Immediately,"₹ 8,000 /month","₹ 10,000-12,000 /month"
Research Analyst,Factacy.Ai,Gurgaon,Immediately,"₹ 8,000 /month","₹ 15,000 /month"
Machine Learning & AI,Sidhe Petrochemical Private Limited,"Delhi, Noida",Immediately,"₹ 8,000 /month","₹ 7,000-20,000 /month"
Business Analytics,DeepThought Edutech Ventures Private Limited,Hyderabad,Immediately,"₹ 8,000 /month","₹ 19,000 /month"
Data Analytics,Infinite Creations Private Limited,Delhi,Immediately,"₹ 8,000 /month","₹ 5,000-10,000 /month"
Data Analytics,Vedasya Engineering Solutions Private Limited,Hyderabad,Immediately,"₹ 8,000 /month","₹ 10,000 /month"
Data Analytics,Futurlytic Private Limited,Bangalore,Immediately,"₹ 8,000 /month","₹ 25,000 /month"
Web Scrapping,Medius Technologies Private Limited,Mumbai                                                            (Hybrid),Immediately,"₹ 8,000 /month","₹ 6,500 /month"
Generative AI - Machine Learning,Pianalytix Edutech Private Limted,Work from home,Immediately,"₹ 8,000 /month","₹ 20,000 /month"
Human Resources (Data Science),Pianalytix Edutech Private Limted,Work from home,Immediately,"₹ 8,000 /month","₹ 10,000 /month"
Backend & ML Development,COSGrid Systems Private Limited,Chennai,Immediately,"₹ 8,000 /month","₹ 15,000-25,000 /month"
Data Science,Blackcoffer,Work from home,Immediately,"₹ 8,000 /month","₹ 10,000-12,000 /month"
Machine Learning,Buddha Education Association Incorporation,"Surat, Bangalore, Bhopal, Mumbai, Jaipur, Nagpur, Nashik, Bhopalgarh, Gwalior West, Ahmedabad, Chennai, Indore, Pune, Satna",Immediately,"₹ 8,000 /month","₹ 25,000 /month"
Big Data,Blismos Solutions Private Limited,Bangalore,Immediately,"₹ 8,000 /month","₹ 2,000 /month"
Data Analytics,Medius Technologies Private Limited,Mumbai,Immediately,3 Months,"₹ 8,000 /month"
Data Analytics,Medius Technologies Private Limited,Mumbai,Immediately,3 Months,"₹ 8,000 /month"
